product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
B08CTNJ985,Wayona USB Type C 65W Fast Charging 2M/6Ft Long Flash Charge Cable 3A QC 3,Computers&Accessories,325.0,999.0,67.0,4.3,2651
B0BP7XLX48,Syncwire LTG to USB Cable for Fast Charging Compatible with Phone 5/ 5C/ 5S/ 6/ 6S/ 7/8/ X/XR/XS Max/ 11/12/ 13 Series,Computers&Accessories,399.0,1.0,80.0,5.0,5
B09LHXNZLR,Skadioo WiFi Adapter for pc | Car Accessories,Computers&Accessories,199.0,499.0,60.0,3.7,612
B0B3N8VG24,FLiX,Computers&Accessories,88.0,299.0,71.0,4.0,9378
B08PSVBB2X,Zoul USB C to USB C Fast Charging Cable 65W Type C to Type C Nylon Braided Cord Compatible with Macbook Oneplus 9 10R Samsung Galaxy S22 S21 Ultra Z Flip3 Macbook Air/Pro M1 Google Pixel 11'' iPad Pro 2020/2018,Computers&Accessories,399.0,1.0,64.0,4.1,2685
B0B3MQXNFB,FLiX,Computers&Accessories,57.89,199.0,71.0,4.0,9378
B08XMSKKMM,7SEVEN® Bluetooth Voice Command Remote for Xiaomi Redmi Mi Smart TV with Netflix,Electronics,799.0,1.0,60.0,3.3,576
B09L8DT7D6,Sony TV - Remote Compatible for Sony LED Remote Control Works with Sony LED TV by Trend Trail Speed tech,Electronics,205.0,499.0,59.0,3.8,313
B00GE55L22,Storite USB 3,Computers&Accessories,299.0,699.0,57.0,4.1,2957
B0162K34H2,boAt LTG 500 Apple MFI Certified for iPhone,Computers&Accessories,849.0,999.0,15.0,4.1,6736
B0B8SRZ5SV,AmazonBasics USB C to Lightning Aluminum with Nylon Braided MFi Certified Charging Cable,Computers&Accessories,949.0,1.0,53.0,4.4,13552
B07CWNJLPC,AmazonBasics Double Braided Nylon USB Type-C to Type-C 2,Computers&Accessories,499.0,1.0,58.0,4.3,5451
B00NH12R1O,Amazon Basics USB 3,Computers&Accessories,299.0,485.0,38.0,4.3,10911
B0B8SSC5D9,AmazonBasics USB C to Lightning Aluminum with Nylon Braided MFi Certified Charging Cable,Computers&Accessories,949.0,1.0,53.0,4.4,13552
B08WKG2MWT,Wayona Usb C 65W Fast Charging Cable Compatible For Tablets Samsung S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G,Computers&Accessories,379.0,1.0,66.0,4.3,2806
B0B466C3G4,Karbonn 80 cm,Electronics,8.0,18.0,53.0,3.9,350
B005LJQMZC,BlueRigger Digital Optical Audio Toslink Cable,Electronics,486.0,1.0,76.0,4.2,30023
B07MDRGHWQ,VW 60 cm,Electronics,5.0,11.0,48.0,4.2,4003
B07DC4RZPY,Amazon Basics USB A to Lightning MFi Certified Charging Cable,Computers&Accessories,709.0,1.0,65.0,4.1,178817
B0B15GSPQW,Samsung 138 cm,Electronics,47.0,70.0,32.0,4.3,7109
B08GJNM9N7,LOHAYA Television Remote Compatible for VU LED LCD HD Tv Remote Control Model No :- EN2B27V,Electronics,299.0,1.0,75.0,3.7,490
B09C6FML9B,Duracell Micro USB 3A Braided Sync,Computers&Accessories,320.0,599.0,47.0,4.1,491
B0B65MJ45G,Zebronics CU3100V Fast charging Type C cable with QC 18W support,Computers&Accessories,139.0,549.0,75.0,3.9,61
B08P9RYPLR,FLiX,Computers&Accessories,129.0,249.0,48.0,4.0,9378
B0B6F8HHR6,MI 108 cm,Electronics,24.0,35.0,31.0,4.2,32840
B084MZXJN6,Belkin Apple Certified Lightning to USB Charge,Computers&Accessories,999.0,1.0,41.0,4.4,7318
B08XMG618K,Time Office Scanner Replacement Cable for Startek FM220U,Computers&Accessories,225.0,499.0,55.0,4.1,789
B0BCKWZ884,Caldipree Silicone Case Cover Compatible for 2022 Samsung Smart TV Remote QLED TV BN68-13897A TM2280E,Electronics,547.0,2.0,82.0,4.3,407
B00GGGOYEK,Storite USB 2,Computers&Accessories,259.0,699.0,63.0,3.8,2399
B07ZR4S1G4,Universal Remote Control for All Sony TV for All LCD LED,Electronics,239.0,699.0,66.0,4.4,2640
B09C635BMM,Cotbolt Silicone Case Cover Compatible for Samsung BN59-01312A QLED 8K 4K Smart TV Remote Shockproof Protective Remote Cover,Electronics,349.0,999.0,65.0,4.0,839
B00GG59HU2,BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D,Electronics,467.0,599.0,22.0,4.4,44054
B00RGLI0ZS,Amkette 30 Pin to USB Charging,Computers&Accessories,449.0,599.0,25.0,4.0,3231
B09ZPJT8B2,TCL 80 cm,Electronics,11.0,31.0,63.0,4.2,64
B07HZ2QCGR,POPIO Type C Dash Charging USB Data Cable for OnePlus Devices,Computers&Accessories,350.0,599.0,42.0,3.9,8314
B095244Q22,MYVN LTG to USB for Fast Charging,Computers&Accessories,252.0,999.0,75.0,3.7,2249
B08CKW1KH9,Tata Sky Universal Remote Compatible for SD/HD,Electronics,204.0,599.0,66.0,3.6,339
B0BLV1GNLN,WZATCO Pixel | Portable LED Projector | Native 720p with Full HD 1080P Support | 2000 Lumens,Electronics,6.0,9.0,35.0,4.0,27
B08RHPDNVV,7SEVEN® Compatible Tata Sky Remote Control Replacement of Original dth SD HD tata Play Set top Box Remote - IR Learning Universal Remote for Any Brand TV - Pairing Must,Electronics,235.0,599.0,61.0,3.5,197
B00NH13Q8W,AmazonBasics USB 2,Computers&Accessories,299.0,800.0,63.0,4.5,74977
