id,discounted_price,actual_price,discount_percentage,rating,rating_count
563,239.0,599.0,60.0,3.9,2147
564,7.0,9.0,21.0,4.1,313832
565,265.0,999.0,73.0,3.7,465
566,37.0,74.0,49.0,4.2,27790
567,199.0,499.0,60.0,4.1,602
568,179.0,399.0,55.0,4.0,1423
569,1.0,3.0,55.0,4.6,245
570,8.0,11.0,29.0,3.9,276
571,1.0,3.0,50.0,4.0,30254
572,3.0,17.0,78.0,4.3,17161
573,219.0,499.0,56.0,4.4,14
574,599.0,1.0,57.0,4.1,14560
575,2.0,2.0,17.0,4.1,3156
576,89.0,499.0,82.0,4.1,9340
577,2.0,11.0,75.0,4.4,768
578,314.0,1.0,79.0,4.5,28978
579,13.0,19.0,28.0,4.1,18998
580,139.0,499.0,72.0,4.2,4971
581,2.0,6.0,63.0,4.5,1526
582,365.0,999.0,63.0,4.1,363711
583,1.0,4.0,67.0,3.9,136954
584,1.0,9.0,80.0,4.3,27709
585,1.0,7.0,77.0,3.8,17833
586,289.0,650.0,56.0,4.3,253105
587,599.0,895.0,33.0,4.4,61314
588,217.0,237.0,8.0,3.8,7354
589,1.0,2.0,57.0,3.8,180998
590,263.0,699.0,62.0,3.5,690
591,569.0,1.0,43.0,4.4,67262
592,1.0,4.0,60.0,4.1,10689
593,1.0,3.0,65.0,4.1,141841
594,349.0,1.0,77.0,4.3,24791
595,149.0,399.0,63.0,3.5,21764
596,599.0,999.0,40.0,4.1,192587
597,1.0,3.0,69.0,4.1,107151
598,1.0,6.0,79.0,3.9,21797
599,499.0,999.0,50.0,3.9,92995
600,99.0,999.0,90.0,4.1,8751
601,349.0,1.0,73.0,4.0,14283
602,475.0,1.0,68.0,4.2,64273
603,269.0,649.0,59.0,4.3,54315
604,299.0,599.0,50.0,4.1,1597
605,1.0,3.0,60.0,4.0,30254
606,1.0,7.0,81.0,4.2,22638
607,329.0,999.0,67.0,3.9,77027
608,549.0,1.0,69.0,4.3,28829
609,2.0,9.0,78.0,4.2,29478
610,299.0,650.0,54.0,4.5,33176
611,798.0,1.0,60.0,4.0,68664
612,399.0,1.0,64.0,4.2,24269
613,266.0,315.0,16.0,4.5,28030
614,50.0,50.0,0.0,4.3,5792
615,130.0,165.0,21.0,3.9,14778
616,449.0,1.0,65.0,4.1,91770
617,3.0,16.0,76.0,4.3,17162
618,399.0,1.0,69.0,4.2,206
619,1.0,2.0,44.0,4.2,33717
620,199.0,349.0,43.0,4.0,43994
621,199.0,999.0,80.0,3.9,7928
622,2.0,5.0,50.0,4.1,5179
623,4.0,4.0,18.0,4.5,50810
624,499.0,1.0,75.0,3.7,3369
625,299.0,449.0,33.0,3.5,11827
626,329.0,699.0,53.0,4.2,94364
627,699.0,999.0,30.0,3.5,15295
628,799.0,3.0,80.0,4.3,27139
629,1.0,5.0,75.0,3.9,9504
630,154.0,399.0,61.0,4.2,16905
631,519.0,1.0,62.0,4.3,30058
632,2.0,7.0,71.0,4.2,69619
633,399.0,1.0,80.0,4.0,3382
634,1.0,3.0,62.0,4.1,109864
635,1.0,1.0,0.0,4.5,5760
636,1.0,5.0,66.0,4.2,49551
637,455.0,1.0,69.0,4.1,161677
638,399.0,995.0,60.0,3.9,21372
639,1.0,3.0,74.0,4.3,140035
640,149.0,1.0,85.0,3.9,24870
641,717.0,761.0,6.0,4.0,7199
642,99.0,999.0,90.0,4.0,1396
643,39.0,299.0,87.0,3.5,15233
644,889.0,2.0,64.0,4.3,55747
645,1.0,4.0,76.0,3.8,14961
646,569.0,1.0,56.0,4.4,9275
647,1.0,8.0,83.0,3.7,28324
648,149.0,180.0,17.0,4.4,644
649,399.0,549.0,27.0,4.4,18139
650,191.0,225.0,15.0,4.4,7203
651,129.0,999.0,87.0,4.2,491
652,199.0,599.0,67.0,4.5,13568
653,999.0,4.0,78.0,3.8,3390
654,899.0,4.0,80.0,3.8,103052
655,1.0,2.0,28.0,4.1,18678
656,176.63,499.0,65.0,4.1,15189
657,522.0,550.0,5.0,4.4,12179
658,799.0,1.0,60.0,3.8,12958
659,681.0,1.0,43.0,4.2,8258
660,1.0,3.0,66.0,4.1,11716
661,2.0,4.0,50.0,4.4,35024
662,1.0,4.0,64.0,4.1,55192
663,429.0,599.0,28.0,4.1,119466
664,100.0,499.0,80.0,3.5,9638
665,329.0,399.0,18.0,3.6,33735
